127.0.0.1 - - [20/May/2022:14:41:01 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:03 +0700] "GET /LinhWine/ HTTP/1.1" 200 146291
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:03 +0700] "GET /LinhWine/assets/user/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:03 +0700] "GET /LinhWine/assets/user/css/dashicons.min9f31.css?ver=5.7.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:03 +0700] "GET /LinhWine/assets/user/css/woocommerce-blocks/build/vendors-style7e2e.css?ver=3.8.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:03 +0700] "GET /LinhWine/assets/user/css/fl-iconsae34.css?ver=3.12 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:03 +0700] "GET /cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css?ver=4.7.0 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:03 +0700] "GET /LinhWine/assets/user/css/styles9dff.css?ver=5.3.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:03 +0700] "GET /LinhWine/assets/user/css/extra.min9fd1.css?ver=0.12.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:03 +0700] "GET /LinhWine/assets/user/css/flatsome-shop2916.css?ver=3.13.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:03 +0700] "GET /LinhWine/assets/user/css/style9632.css?ver=1.2.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:03 +0700] "GET /LinhWine/assets/user/css/style6aec.css?ver=3.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:04 +0700] "GET /LinhWine/assets/user/css/styleCustom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:04 +0700] "GET /LinhWine/assets/user/css/woocommerce-blocks/build/style7e2e.css?ver=3.8.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:04 +0700] "GET /LinhWine/assets/user/css/flatsome2916.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:04 +0700] "GET /LinhWine/assets/user/js/jquery/jquery.min9d52.js?ver=3.5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:04 +0700] "GET /LinhWine/assets/user/css/dist/block-library/style.min9f31.css?ver=5.7.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:04 +0700] "GET /LinhWine/assets/user/js/jquery/jquery-migrate.mind617.js?ver=3.3.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:04 +0700] "GET /LinhWine/assets/user/js/scripts9dff.js'%20id='contact-form-7-js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:04 +0700] "GET /LinhWine/assets/user/vendor/superfish/superfish.min9632.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:04 +0700] "GET /LinhWine/assets/user/js/frontend/woocommerce.min287d.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2022:14:41:04 +0700] "GET /LinhWine/assets/user/js/frontend/add-to-cart.min287d.js HTTP/1.1" 304 -
